UNITID,INSTNM,DOMAIN
110404,California Institute of Technology,caltech.edu
112260,Claremont McKenna College,cmc.edu
121345,Pomona College,pomona.edu
123165,Scripps College,scrippscollege.edu
123961,University of Southern California,usc.edu
126678,Colorado College,coloradocollege.edu
130697,Wesleyan University,wesleyan.edu
130794,Yale University,yale.edu
139658,Emory University,emory.edu
144050,University of Chicago,uchicago.edu
147767,Northwestern University,northwestern.edu
152080,University of Notre Dame,nd.edu
153384,Grinnell College,grinnell.edu
161004,Bowdoin College,bowdoin.edu
161086,Colby College,colby.edu
164465,Amherst College,amherst.edu
166683,Massachusetts Institute of Technology,mit.edu
168148,Tufts University,tufts.edu
168218,Wellesley College,wellesley.edu
168342,Williams College,williams.edu
173258,Carleton College,carleton.edu
173902,Macalester College,macalester.edu
182670,Dartmouth College,dartmouth.edu
186131,Princeton University,princeton.edu
190150,Columbia University in the City of New York,columbia.edu
191515,Hamilton College,hamilton.edu
197133,Vassar College,vassar.edu
198385,Davidson College,davidson.edu
198419,Duke University,duke.edu
204501,Oberlin College,oberlin.edu
212911,Haverford College,haverford.edu
215062,University of Pennsylvania,upenn.edu
216287,Swarthmore College,swarthmore.edu
217156,Brown University,brown.edu
221999,Vanderbilt University,vanderbilt.edu
227757,Rice University,rice.edu
234076,University of Virginia-Main Campus,virginia.edu
234207,Washington and Lee University,wlu.edu
243744,Stanford University,stanford.edu
